Term,Alias1,Alias2,Alias3,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
months,month,,,"A <span class=""AS"">month</span> or so ago, the freaking motherboard just died.","A coupla <span class=""AS"">months</span> later, they change my hard drive.","even though I had the receipt in front of me proving it still had 2 <span class=""AS"">months</span> left on the warranty.","but its a trial verion so after about a <span class=""AS"">month</span> or so","Then after 4 or so <span class=""AS"">months</span> the charger stopped working","After replacing the hard drive the battery stopped working  (3 <span class=""AS"">months</span> of use) which was frustrating.","Then after 4 or so <span class=""AS"">months</span> the charger stopped working","I took the laptop home and not even a <span class=""AS"">month</span> later, I began to have problems with it.","So, after Apple replaced the hard drive I enjoyed another 4 <span class=""AS"">months</span> of my new computer, until it froze this morning--completely.","I got assurances from 2 different people that the remaining 10 <span class=""AS"">months</span> of my warranty would transfer to the new computer.","After about another <span class=""AS"">month</span> I had to send it in AGAIN to Acer for repairs.","The second issue I had with it occured a <span class=""AS"">month</span> later and it kept overheating, even if on for less than an hour!","I have had this laptop for a few <span class=""AS"">months</span> now","I spent <span class=""AS"">months</span> looking for a good laptop for me and I finally found it!","I bought this notebook and only had it for 3 <span class=""AS"">months</span> If it is overload with updates the BOOT MGR.","I've been having endless problems since I bought the computer - only 1 <span class=""AS"">month</span> ago","I'm having the laptop returned unrepaired since paying $176 every 3  <span class=""AS"">months</span> just isn't worth","After replacing the hard drive the battery stopped working  (3 <span class=""AS"">months</span> of use) which was frustrating.","I have had my MacBook for almost 6 <span class=""AS"">months</span> and can honestly say that I will NEVER buy another computer if it is not a Mac.","I had of course bought a 3 year warranty, so I sent it in to be replaced and (almost 2 <span class=""AS"">months</span> later)"
mac,,,,"I have no problems yet on my <span class=""AS"">mac</span> so far, and hope it stays like that.","Heck, I like all <span class=""AS"">Mac</span> computers, but they're all WAY too pricey for the kind of economy the U.S. is going through.","One suggestion I do have, is to not bother getting Microsoft office for the <span class=""AS"">mac</span> expecting it will work just like you knew it to on a PC.","previous laptops were pc's, still have them, but the <span class=""AS"">mac</span> osx is a clean and smooth operating system.","I then upgraded to <span class=""AS"">Mac</span> OS X 10.8 ""Mountain Lion"".","HUGE Apple <span class=""AS"">MAC</span> Fan!","Love the stability of the <span class=""AS"">Mac</span> software and operating system.","Got this <span class=""AS"">Mac</span> Mini with OS X Mountain Lion for my wife.","However, I love this particular <span class=""AS"">Mac</span> because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.","I thought learning the <span class=""AS"">Mac</span> OS would be hard, but it is easily picked up if you are familiar with a PC.","2nd <span class=""AS"">Mac</span> book I have purchased from MacConnection.","I needed a new computer for graduate school (had never owned a laptop before), and the only reason I didn't purchase a <span class=""AS"">Mac</span> was because my school's website strongly recommended students purchase PCs.","Having a <span class=""AS"">Mac</span> certainly makes life easier.","Customization on <span class=""AS"">mac</span> is impossible.","PC users work in Word, while <span class=""AS"">Mac</span> users work in Pages.","We'll save our money to replace it with a <span class=""AS"">Mac</span> again!","If you have to ask you don't own a <span class=""AS"">Mac</span> and your just not in the know.","Further, this <span class=""AS"">Mac</span> Mini has a sloppy Bluetooth interface (courtesy of the Mac OS) and the range is poor.","It s heavy for <span class=""AS"">Mac</span> book but is good.","With a <span class=""AS"">mac</span> you don't have to worry about antivirus software or firewall, it's so wonderful."
help,,,,"Still under warrenty so called Toshiba, no <span class=""AS"">help</span> at all.","All apple associates are always wiling to <span class=""AS"">help</span> you out with anything, no matter when you purchased the computer and how many years passed.","The computer continued to give me issues and in Late June it completely died again and I tried to call Acer again to get it fixed and they refused to <span class=""AS"">help</span> me, they said my warrenty was up and hung up on me.","the size of has actually <span class=""AS"">help</span> me out quite a bit by me being able to fit it in an already full backpack and to use it at a resturant where the food on the table is always so space consuming.","I went to Toshiba online <span class=""AS"">help</span> and found some suggestions to fix it.","after trying to get some <span class=""AS"">help</span> he disconnected on me.","Steve Jobs, probably needs <span class=""AS"">help</span> and donations, and cannot afford a reasonable offers for people that truly are trying to support his baby.","After paying several hundred dollars for this service, it is frustrating that you cannot get <span class=""AS"">help</span> after hours.","I hate wasting my time with hellos and how can I <span class=""AS"">help</span> you's.","Acer was no <span class=""AS"">help</span> and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer","One year of trying to fix the computer by myself, with <span class=""AS"">help</span> of friends, and even help from computer experts I have given up on trying to fix it.","A lot of <span class=""AS"">help</span> they WEREN'T!","We don't support software but for $$$ we can <span class=""AS"">help</span> you","When I got this laptop in 2007 to <span class=""AS"">help</span> me with school, I had a hard time from beginning.","I would recomend this acer to parents and grandparents it can really <span class=""AS"">help</span> them in school.","I can't say enough of how satisfied I am with their product and <span class=""AS"">help</span> aftermarket.","I have found a lot of online sources to <span class=""AS"">help</span> me but think that I would have learned a lot quicker if I would have taken the class.","After that I turned to email in my next vain <span class=""AS"">help</span> to get them to acknowledge that the warranty was still valid."
ones,one,,,"It's a bummer and <span class=""AS"">one</span> out of five is being kind.","The battery never held a charge longer than <span class=""AS"">one</span> hour and within two months, stopped holding a charge for more than ten minutes.","I wasn't a big fan of the Netbooks but this <span class=""AS"">one</span> was very well designed.","Have <span class=""AS"">one</span> myself and Love it!","It was just <span class=""AS"">one</span> problem after another for me, and that's reason we had forked out so much money was so we wouldn't have anything to worry about.","I realize that not every unit has this issue, but the <span class=""AS"">ones</span> that do cannot be repaired.","I love it and will probably get another <span class=""AS"">one</span> when this goes to the Laptop in the sky!!","(You may be reading <span class=""AS"">one</span> now!","was debating to buy <span class=""AS"">one</span> for months, checked out different stuff on youtube, and read different articles and debates,I just didnt really wanna spend the money","I was told by many  that it was a great computer, but we got <span class=""AS"">one</span> of these, and it worked  great for one year, and as soon as the warrenty was up, then it got  really bad.","When I out grow this Meaning when its old and my oldest child is ready for <span class=""AS"">one</span> she will get this one","Oh and if thats not bad enough it doesn't come with a recovery cd so you can make <span class=""AS"">one</span> if you know how to or buy one if you buy it","Looked at HP, ASUS, Acer, Sony and a bunch of other <span class=""AS"">ones</span> but could not find I really liked.","I've only had it <span class=""AS"">one</span> day, but I really do love it","And at <span class=""AS"">one</span> point, they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop","The battery never held a charge longer than <span class=""AS"">one</span> hour and within two months, stopped holding a charge for more than ten minutes.","only <span class=""AS"">one</span> way this computer might become the best is that it needs to upgreade patches  to make less easier for people to hack into","and the multiple page viewer ( allows you to press <span class=""AS"">one</span> button to see every separate page currently opened at the same time in one screen) are great for those who are working non stop or just shopping online.","SO of course this <span class=""AS"">one</span> came through with the awesomeness!","Two of the times was in <span class=""AS"">one</span> month."
apple,,,,"Overall very impressed, Thank you <span class=""AS"">Apple</span> and Amazon!","HUGE <span class=""AS"">Apple</span> MAC Fan!","The <span class=""AS"">Apple</span> engineers have not yet discovered the delete key.","But enough about that, I am an <span class=""AS"">Apple</span> convert for life.","All <span class=""AS"">apple</span> associates are always wiling to help you out with anything, no matter when you purchased the computer and how many years passed.","I understand I should call <span class=""AS"">Apple</span> Tech Support about any variables(which is my purpose of writing this con) as variables could be a bigger future problem.","I visited the <span class=""AS"">Apple</span> Store and was impressed with the 17-inch MacBook Pro.","Before I begin, I will say that I am not like a good percentage of the people that will end up writing a review on this computer - I am not an <span class=""AS"">Apple</span> fanboy.","It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if <span class=""AS"">Apple</span> does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.","I thought we were paying for quality in our decision to buy an <span class=""AS"">Apple</span> product.","So, after <span class=""AS"">Apple</span> replaced the hard drive I enjoyed another 4 months of my new computer, until it froze this morning--completely.","If someone called me an <span class=""AS"">Apple</span> Fanboy...it would make sense.","The <span class=""AS"">Apple</span> team also assists you very nicely when choosing which computer is right for you :)","The best thing to do is build your own computer, but if u can't company's like dell who allow you to choose the components are better and for the same price you can get a computer who compares to one of <span class=""AS"">apple</span> $2000 systems and if you google ""dell coupons"" you can find codes that take a signifant  amount off the price.","Despite the claims of the <span class=""AS"">Apple</span> apologists (a vice of which I am recently myself reformed) the internals of Mac laptops are NO different from PCs' at this point.","They also have a longer service life than other computers (I have several friends who still use the older <span class=""AS"">Apple</span> PowerBooks).","Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to <span class=""AS"">Apple</span> (which I promptly did).","If the number of patrons in the <span class=""AS"">Apple</span> store are any indication, HP and other PC manufacturers need to take note.","I fine <span class=""AS"">Apple</span> MC373LL","I will only buy <span class=""AS"">apple</span> laptops from now on."
machine,,,,"This <span class=""AS"">machine</span> is flawless, fast, and classy.","Using this <span class=""AS"">machine</span> is like a mild form of torture.","This <span class=""AS"">machine</span> delivers.","So if you want a good <span class=""AS"">machine</span> that does almost anything this is the one, if you want a low budget computer then look at the other great brands Best Buy sells.","EVENTUALLY we pushed hard enough to convince them that this was the <span class=""AS"">MACHINE</span> that was causing the problems.","No <span class=""AS"">machine</span> has come remotely close to causing as many problems.","They basically told me that the <span class=""AS"">machine</span> would be problem free now.","Which is great I am running Vista Business and scored a 5.X on the index I have never seen a windows <span class=""AS"">machine</span> have a total score in the 5's.","The <span class=""AS"">machine</span> is used, but is like new, i'm very impress.","The software that comes with this <span class=""AS"">machine</span> is greatly welcomed compared to what Windows comes with.","Compared to similarly spec'd PCs, this <span class=""AS"">machine</span> is good value, well built and works easily right out of the box.","great <span class=""AS"">machine</span> if you want to drop the cash for one.","This <span class=""AS"">machine</span> was a horrible experience.","I have owned at least 4 to 5 laptops and computers - but this is by far the most superior <span class=""AS"">machine</span> I have ever owned.","But the <span class=""AS"">machine</span> is awesome and iLife is great","I custom ordered the <span class=""AS"">machine</span> from HP and could NOT understand the techie due to his accent.","Let me tell you, this <span class=""AS"">machine</span> is great.","If what you need is a <span class=""AS"">machine</span> to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.","I'm excited to learn more about what this powerful <span class=""AS"">machine</span> has to offer and encourage others to do the same.","I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful <span class=""AS"">machine</span> for a great price."
computers,computer,,,"They are by far the easiest systems to actually learn about <span class=""AS"">computers</span> with.","The salesman talked us into this <span class=""AS"">computer</span> away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.","The program came with the <span class=""AS"">computer</span> and works beautifully.","so the fact that the <span class=""AS"">computer</span> does not work on the 24 twenty fourth day is my fault.","But probably my <span class=""AS"">computer</span> was a bit defective.","when you go to open it it asks for a product key which didnt come with the <span class=""AS"">computer</span> and even after clicking cancel it wont let you use it at all I use the old word processer which works good.","The <span class=""AS"">computer</span> is a dream come true.","I have owned many <span class=""AS"">computers</span> and laptops.","(Beware, their staff could send you back making you feel that only they know what a <span class=""AS"">computer</span> is.","I needed a new <span class=""AS"">computer</span> for graduate school (had never owned a laptop before), and the only reason I didn't purchase a Mac was because my school's website strongly recommended students purchase PCs.","The 17 inch screen is very large, but the <span class=""AS"">computer</span> is very light.","So if you want a good machine that does almost anything this is the one, if you want a low budget <span class=""AS"">computer</span> then look at the other great brands Best Buy sells.","I can say that I am fully satisfied with the performance that the <span class=""AS"">computer</span> has supplied.","so I was forced to go out and buy new hardware just to keep this <span class=""AS"">computer</span> running.","Eventually the screen went blank and the <span class=""AS"">computer</span> would not turn on.","The display on this <span class=""AS"">computer</span> is the best I've seen in a very long time, the battery life is very long and very convienent.","Nightly my <span class=""AS"">computer</span> defrags itself and runs a virus scan.","The applications are also very easy to find and maneuver, much easier than any other <span class=""AS"">computer</span> I have ever owned.","All apple associates are always wiling to help you out with anything, no matter when you purchased the <span class=""AS"">computer</span> and how many years passed.","When calling Dell for help, reurn, or a new <span class=""AS"">computer</span> they were not useful and left it up to myself to figure out what to do with it."
user,,,,"It is very <span class=""AS"">user</span> friendly and not hard to figure out at all.","Being a PC <span class=""AS"">user</span> for many years to switch to a Mac I will not go back.","In my opinion it was not as <span class=""AS"">user</span> friendly as I expected either.","Being a PC <span class=""AS"">user</span> my whole life....","THE <span class=""AS"">USER</span> TO REDO MANY WORDS AND SENTENCES.","(my wife and I have another laptop), or if you are a <span class=""AS"">user</span> who uses the computer for simple tasks.","It still works and it's extremely <span class=""AS"">user</span> friendly, so I would recommend it for new computer user and also for those who are just looking for a more efficient way to do things","I have been a PC <span class=""AS"">user</span> since middle school, but in my mid twenties I decided to convert to the dark side, or should I say the brighter side of life.","been a PC <span class=""AS"">user</span> for many, many years.","She said its very <span class=""AS"">user</span> friendly.","The OS is also very <span class=""AS"">user</span> friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!","I consider myself an average <span class=""AS"">user</span> and this computer serves my need.","As far as <span class=""AS"">user</span> type - I dabble in everything from games (WoW) to Photoshop, but nothing professionally.","I have been a mac <span class=""AS"">user</span> since the mid 90s.","The most amazing part to me as a PC <span class=""AS"">user</span> is the startup and shutdown times - and the fact that you very rarely have to restart the thing.","It is extremely <span class=""AS"">user</span> friendly and intuitive.","It's not a wear-and-tear issue, not due to <span class=""AS"">user</span> carelessness and most importantly, they CAN'T guarantee the problem will be solved if it is sent for service","The battery lasts as advertised (give or take 15-20 minutes), and the entire <span class=""AS"">user</span> experience is very elegant.","The operating system and <span class=""AS"">user</span> interface is very intuitive, and the large multi-touch track pad is amazing.","I find it not to be very <span class=""AS"">user</span> friendly."
way,,,,"Heck, I like all Mac computers, but they're all <span class=""AS"">WAY</span> too pricey for the kind of economy the U.S. is going through.","While the computer seems to be set up in a common sense <span class=""AS"">way</span> rather than in geek-speak, there are certain quirks that can drive you crazy trying to deal with the PC world.","the laptop was really good and it goes really fast just the <span class=""AS"">way</span> i thought it would of run.","Do you think it's fun to take public transport all the <span class=""AS"">way</span> to the service center and get a non-satisfactory solution?","I love the <span class=""AS"">way</span> the entire suite of software works together.","only one <span class=""AS"">way</span> this computer might become the best is that it needs to upgreade patches  to make less easier for people to hack into","also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no <span class=""AS"">way</span> of seeing the keyboard.","I am finding my <span class=""AS"">way</span> around this laptop better than my last one.","the mouse is <span class=""AS"">way</span> way way to sensitve.","I managed to comply with these too and now have to wait and see if they can find another <span class=""AS"">way</span> to screw me.","The MacBook is <span class=""AS"">way</span> too overpriced for something so simple and chaotic.","we were like we will just by a portable mouse which would be <span class=""AS"">way</span> cheaper","It still works and it's extremely user friendly, so I would recommend it for new computer user and also for those who are just looking for a more efficient <span class=""AS"">way</span> to do things","But with A <span class=""AS"">WAY</span> Bigger Screen, and IS able to connect to an HDMI.","I have used different laptops in the past and I have to rate this one <span class=""AS"">way</span> above the rest.","The reality was, it heated up very quickly, and took <span class=""AS"">way</span> too long to do simple things, like opening my Documents folder.","It is loaded with programs that is of no good for the average user, that makes it run <span class=""AS"">way</span> to slow.","MACHINE IS THE <span class=""AS"">WAY</span> TO GO!","I don't use my laptop in a <span class=""AS"">way</span> though that needs a long battery life","There is NO <span class=""AS"">way</span> I will buy a LG product in the future."
design,,,,"In addition, all the <span class=""AS"">design</span> tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.","I swear they <span class=""AS"">design</span> these things to go to crap after a year so you are stuck and have to buy a new one.","I like the <span class=""AS"">design</span> and its features but there are somethings I think needs to be improved.","The <span class=""AS"">design</span> is awesome, quality is unprecedented.","After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek <span class=""AS"">design</span> and promise of less tech issues.","I like the <span class=""AS"">design</span> and ease of use with the keyboard, plenty of ports.","Perfect for all my graphic <span class=""AS"">design</span> classes I'm taking this year in college :-)","the hinge <span class=""AS"">design</span> forced you to place various connections all around the computer, left right and front.","I would say that 85% of the <span class=""AS"">design</span> industry is Mac for good reason.","Everything from the <span class=""AS"">design</span> to the OS is simple and to the point.","The unibody <span class=""AS"">design</span> is edgy and durable.","It was important that it was powerful enough to do all of the tasks he needed on the internet, word processing, graphic <span class=""AS"">design</span> and gaming.","I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the <span class=""AS"">design</span> of the macbook as it is one very large heat sink."
