Term,Alias1,Alias2,Alias3,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
ones,one,,,"I was told by many  that it was a great computer, but we got <span class=""AS"">one</span> of these, and it worked  great for one year, and as soon as the warrenty was up, then it got  really bad.","My <span class=""AS"">one</span> complaint with this laptop is that I've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in.","If you want a little more custom ability, drop a few bucks and upgrade to <span class=""AS"">one</span> of the more robust versions of Win 7 and grab a 2GB stick of memory to spice it all up a bit more.","I wasn't a big fan of the Netbooks but this <span class=""AS"">one</span> was very well designed.","The battery never held a charge longer than <span class=""AS"">one</span> hour and within two months, stopped holding a charge for more than ten minutes.","I was even able to uninstall McAffe and install <span class=""AS"">one</span> of my Symantec licenses with a no issues whatsoever.","The speakers are terrible and are probably the cheapest <span class=""AS"">ones</span> I have ever seen in a laptop","if this computer every breaks down on me i will most definatly get the same <span class=""AS"">one</span> again.","I haven't tried the <span class=""AS"">one</span> with retina display...","The extended warranty for the $4000 and up computers was the only <span class=""AS"">one</span> available for purchase on the drop drown menu.","I also bought <span class=""AS"">one</span> for my wife, and 3 for my office.","It is easy to find documents, and keep them in <span class=""AS"">one</span> area.","I was considering buying the Air, but in reality, this <span class=""AS"">one</span> has a more powerful performance and seems much more convenient, even though it's about .20 inch thicker and 2 lbs heavier.","I had meant to purchase the NB205 and bought this <span class=""AS"">one</span> by accident (long story).","I realize that not every unit has this issue, but the <span class=""AS"">ones</span> that do cannot be repaired.","It's a bummer and <span class=""AS"">one</span> out of five is being kind.","I've owned every ""Pro"" model Apple laptop for the last 8 years, this is BY FAR the WORST <span class=""AS"">one</span> I've ever had.","The first <span class=""AS"">one</span> sent:","Took a long time trying to decide between <span class=""AS"">one</span> with retina display and one without.","Also, <span class=""AS"">one</span> of the users mentioned how the edges on the macbook is sharp, if you have money to spend on one of the incase shells, it doesn't seem to be a problem."
warrenty,,,,"I was told by many  that it was a great computer, but we got one of these, and it worked  great for one year, and as soon as the <span class=""AS"">warrenty</span> was up, then it got  really bad.","Purchased a Toshiba Lap top it worked good until just after the <span class=""AS"">warrenty</span> went out.","The store honored their <span class=""AS"">warrenty</span> and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.","Toshiba is aware of the issue but unless the extended <span class=""AS"">warrenty</span> is bought Toshiba will do nothing about it.","After the <span class=""AS"">warrenty</span> expired the hard drive went bad and it would have cost more to fix then to replace.","The computer continued to give me issues and in Late June it completely died again and I tried to call Acer again to get it fixed and they refused to help me, they said my <span class=""AS"">warrenty</span> was up and hung up on me.","I actually contact Toshiba before I started having problem and was given run around after I supplied serial number in order to delay me sending in laptop until after <span class=""AS"">warrenty</span> expired."
hours,hour,,,"-When battery life went to 4 <span class=""AS"">hours</span> or less, took it to the MacHouse Amsterdam for repair (26th of August).","Wasted me at least 8 <span class=""AS"">hours</span> of installation time.","The battery never held a charge longer than one <span class=""AS"">hour</span> and within two months, stopped holding a charge for more than ten minutes.","Battery is lasting about 6 <span class=""AS"">hours</span> as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos.","So we exchanged it for the same on and after 2 <span class=""AS"">hours</span> it didn't work.","The battery life is excellent- 6-7 <span class=""AS"">hours</span> without charging.","After on <span class=""AS"">Hour</span> mine was at 53% life left and his was at 69% life left.","taking it back less than 24 <span class=""AS"">hours</span> of purchase","Spent 2 <span class=""AS"">hours</span> on phone with HP Technical Support.","I'd paid almost $400 for, and I had to call in, spend <span class=""AS"">hours</span> on their online chat service, and fax in multiple documents.","Acer was no help and Garmin could not determine the problem(after spending about 2 <span class=""AS"">hours</span> with me), so I returned it and purchased a Toshiba R700 that seems even nicer","10 <span class=""AS"">hours</span> of battery life is really something else....","BUT WHEN FULLY CHARGED SHOWS ONLY 7 <span class=""AS"">HOURS</span> OF SERVICE.","Very long-life battery (up to 10-11 <span class=""AS"">hours</span> depending on how you configure power level settings).","The battery life is probably an <span class=""AS"">hour</span> at best.","I believe I purchased this in Dec 09 for my primary work laptop which is used 5-10 <span class=""AS"">hours</span> a day, 4-6 days a week.","The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 <span class=""AS"">hours</span> of battery life five days a week.","It has a 10 <span class=""AS"">hour</span> battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.","I can leave my MacBook uncharged for upwards of eight <span class=""AS"">hours</span> and it won't even be dead.","No luck, although I waited for <span class=""AS"">hours</span> on the phone-Visited MacHouse, they stated the their call center is down due to too many phonecalls (difficult to believe)."
life,,,,"-When battery <span class=""AS"">life</span> went to 4 hours or less, took it to the MacHouse Amsterdam for repair (26th of August).","The battery <span class=""AS"">life</span> also doesn't keep up with the claim","The battery <span class=""AS"">life</span> was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.","A longer battery <span class=""AS"">life</span> would have been great - but it meets it's spec quite easily.","Screen is awesome, battery <span class=""AS"">life</span> is good.","I can't imagine my <span class=""AS"">life</span> without it anymore!","The battery <span class=""AS"">life</span> is excellent- 6-7 hours without charging.","First things first, Macbook pro has many applications to make <span class=""AS"">life</span> easier, unlike the windows computers.","The battery <span class=""AS"">life</span> is great.","Battery <span class=""AS"">life</span> could be better but overall for the price and Toshiba's reputation for laptops","The battery <span class=""AS"">life</span> is excellent, the display is excellent, and downloading apps is a  breeze.","Does everything I need it to, has a wonderful battery <span class=""AS"">life</span> and I couldn't be happier.","The system constantly overheats, the battery <span class=""AS"">life</span> is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.","After on Hour mine was at 53% <span class=""AS"">life</span> left and his was at 69% life left.","Overall I feel this netbook was poor quality, had poor performance, although it did have great battery <span class=""AS"">life</span> when it did work.","Battery <span class=""AS"">life</span> needs more life.","I would rate this computer at 5 stars, but considering it has a short <span class=""AS"">life</span> span I can only give it 1 and implore anyone looking at laptops to stay away from this machine.","The display on this computer is the best I've seen in a very long time, the battery <span class=""AS"">life</span> is very long and very convienent.","The battery <span class=""AS"">life</span> was shorter than expected.","10 hours of battery <span class=""AS"">life</span> is really something else...."
battery life,,,,"-When <span class=""AS"">battery life</span> went to 4 hours or less, took it to the MacHouse Amsterdam for repair (26th of August).","The <span class=""AS"">battery life</span> also doesn't keep up with the claim","The <span class=""AS"">battery life</span> was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.","A longer <span class=""AS"">battery life</span> would have been great - but it meets it's spec quite easily.","Screen is awesome, <span class=""AS"">battery life</span> is good.","The <span class=""AS"">battery life</span> is excellent- 6-7 hours without charging.","The <span class=""AS"">battery life</span> is great.","The <span class=""AS"">battery life</span> is excellent, the display is excellent, and downloading apps is a  breeze.","Does everything I need it to, has a wonderful <span class=""AS"">battery life</span> and I couldn't be happier.","The system constantly overheats, the <span class=""AS"">battery life</span> is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.","Overall I feel this netbook was poor quality, had poor performance, although it did have great <span class=""AS"">battery life</span> when it did work.","The display on this computer is the best I've seen in a very long time, the <span class=""AS"">battery life</span> is very long and very convienent.","The <span class=""AS"">battery life</span> was shorter than expected.","10 hours of <span class=""AS"">battery life</span> is really something else....","The <span class=""AS"">battery life</span> seems to be very good, and have had no issues with it.","-Computer crashed frequently and <span class=""AS"">battery life</span> decreased very quickly.","The <span class=""AS"">battery life</span> is probably an hour at best.","I've been impressed with the <span class=""AS"">battery life</span> and the performance for such a small amount of memory.","The <span class=""AS"">battery life</span> sucked the juice from my laptop and when the extended life battery went out we were SOL there to, so much for that warranty covering all the products we purchased.","I would recommend this computer to anyone searching for the perfect laptop, and the <span class=""AS"">battery life</span> is amazing."
battery,,,,"-When <span class=""AS"">battery</span> life went to 4 hours or less, took it to the MacHouse Amsterdam for repair (26th of August).","The <span class=""AS"">battery</span> life also doesn't keep up with the claim","I know what 7 hrs of <span class=""AS"">battery</span> looks like.","The <span class=""AS"">battery</span> never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.","I took it back for an Asus and same thing- blue screen which required me to remove the <span class=""AS"">battery</span> to reset.","Also, the <span class=""AS"">battery</span> does not last very long at all.","The <span class=""AS"">battery</span> was completely dead, in fact it had grown about a quarter inch thick lump on the underside.","It's so nice that the <span class=""AS"">battery</span> last so long and that this machine has the snow lion!","The <span class=""AS"">battery</span> life was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.","2 months later, the <span class=""AS"">battery</span> went.","It's so bad that I'm thinking I only got half a <span class=""AS"">battery</span> or something.","My <span class=""AS"">battery</span> went bad about a year and a half after having it and it cost around eighty to a hundred dollars!","A longer <span class=""AS"">battery</span> life would have been great - but it meets it's spec quite easily.","Screen is awesome, <span class=""AS"">battery</span> life is good.","I would like at least a 4 hr. <span class=""AS"">battery</span> life.","This is a nicely sized laptop with lots of processing power and long <span class=""AS"">battery</span> life.","great <span class=""AS"">battery</span> life.","It's fast and has excellent <span class=""AS"">battery</span> life.","The <span class=""AS"">battery</span> life is excellent- 6-7 hours without charging.","The <span class=""AS"">battery</span> life is great."
macbook,,,,"wow the new <span class=""AS"">macbook</span> pro hanged as i tried to type this review.","I had a <span class=""AS"">MacBook</span> Notebook, and it had absolutely no protection from viruses, spyware, malware, etc.","but still I think <span class=""AS"">macbook</span> is much ahead from the rest of the pack.","I love this piece of equipment, It will be hard to go back to other type of laptop after using a <span class=""AS"">MacBook</span> Pro.","This Mac Mini makes the <span class=""AS"">Macbook</span> Pro seem slow.","I was a little weary at purchasing another 13"" <span class=""AS"">macbook</span> almost 2 years later","I have owned <span class=""AS"">macbook</span> pros since 2005 and this is the best yet!","the key bindings take a little getting used to, but have loved the <span class=""AS"">Macbook</span> Pro.","I was waiting for this model to be released since January, and have been holding off on buying a <span class=""AS"">Macbook</span> Pro until the new model came out.","This is now my 3rd <span class=""AS"">MacBook</span> Pro and I really honestly love it!","And now I am a proud <span class=""AS"">MacBook</span> owner also!","This is the third <span class=""AS"">MacBook</span> Pro in our family.","The 13"" <span class=""AS"">Macbook</span> Pro just fits in my budget and with free shipping and no tax to CA","I own other Macs but always find myself navigation to the <span class=""AS"">MacBook</span> Pro to get my work done.","I initially purchased my <span class=""AS"">Macbook</span> Pro 13"" in April, and I loved it.","And these are some reasons you should get a <span class=""AS"">macbook</span> pro.","I do admit it is pricey but the saying is really true with this <span class=""AS"">MacBook</span> Pro Laptop ( You get what you pay for).","I've saved a lot of time and headaches so far, using my new <span class=""AS"">MacBook</span> Pro.","The 13"" <span class=""AS"">MacBook</span> Pro is portable, durable, and very capable.","I my wife is also now the proud owner of a <span class=""AS"">Macbook</span> as well!"
macbook pro,,,,"wow the new <span class=""AS"">macbook pro</span> hanged as i tried to type this review.","This Mac Mini makes the <span class=""AS"">Macbook Pro</span> seem slow.","I was waiting for this model to be released since January, and have been holding off on buying a <span class=""AS"">Macbook Pro</span> until the new model came out.","This is now my 3rd <span class=""AS"">MacBook Pro</span> and I really honestly love it!","This is the third <span class=""AS"">MacBook Pro</span> in our family.","The 13"" <span class=""AS"">Macbook Pro</span> just fits in my budget and with free shipping and no tax to CA","I own other Macs but always find myself navigation to the <span class=""AS"">MacBook Pro</span> to get my work done.","I initially purchased my <span class=""AS"">Macbook Pro</span> 13"" in April, and I loved it.","I do admit it is pricey but the saying is really true with this <span class=""AS"">MacBook Pro</span> Laptop ( You get what you pay for).","The 13"" <span class=""AS"">MacBook Pro</span> is portable, durable, and very capable.","I also enjoy the fact that my <span class=""AS"">MacBook Pro</span> laptop allows me to run Windows 7 on it by using the VMWare program.","I plan on using my <span class=""AS"">MacBook Pro</span> for a long time.","This was a significantly more affordable than getting a new <span class=""AS"">MacBook Pro</span> from Apple.","My wife recently purchased an Apple <span class=""AS"">MacBook Pro</span> and our granddaughter fell in love with it and asked for one for her birthday.","First things first, <span class=""AS"">Macbook pro</span> has many applications to make life easier, unlike the windows computers.","My <span class=""AS"">MacBook Pro</span> has been a huge disappointment.","In due course, I'll remove the hard disc from this new <span class=""AS"">MacBook Pro</span> and dump it where it belongs - in the trash.","I will never complain about the price since I believe you get what you pay for and my <span class=""AS"">MacBook Pro</span> was worth every dollar.","So, if you're thinking of a laptop, I would heartily recommend theApple 13.3 <span class=""AS"">MacBook Pro</span> Notebook Computer","The <span class=""AS"">MacBook Pro</span> is a great product which can meet the needs of the average consumer."
hp,,,,"I also own an <span class=""AS"">HP</span> notebook and it doesn't even come close.","Although my model was listed as recalled, <span class=""AS"">HP</span> denied my claim.","And, if you are going to deal with <span class=""AS"">HP</span> be careful.","I previously owned an <span class=""AS"">HP</span> desktop and a Dell laptop.","I will never buy another <span class=""AS"">HP</span> computer.","In my house, <span class=""AS"">HP</span> is a nasty word.","None of the techs at <span class=""AS"">HP</span> knew what they were doing.","I custom ordered the machine from <span class=""AS"">HP</span> and could NOT understand the techie due to his accent.","I did contact <span class=""AS"">HP</span> and share how unhappy I am.","I bought a <span class=""AS"">HP</span> Pavilion DV4-1222nr laptop and have had so many problems with the computer.","After much battling with <span class=""AS"">HP</span> i was able to return it 4 times for repairs.","We purchased this as a back up computer after our more expensive <span class=""AS"">HP</span> needed to be repaired.","Will probably never buy a <span class=""AS"">HP</span> again.","Spent 2 hours on phone with <span class=""AS"">HP</span> Technical Support.","The store honored their warrenty and made the comment that they don't even recommend the <span class=""AS"">HP</span> brand because of the problems with their warrentys.","I fell in love with the <span class=""AS"">hp</span> pavillion and that was my replacement","The computer was two weeks late in delivery because <span class=""AS"">HP</span> forgot to complete the required import paperwork.","When I am at Starbucks between clients I get full bars on my <span class=""AS"">HP</span> and 1 bar on my Eee PC.","I purchased it this year when my old <span class=""AS"">HP</span> laptop finally died and I was looking for something smaller and lighter than a laptop to carry around for classes and traveling.","I purchased an <span class=""AS"">HP</span> right after my high school graduation."
notebooks,notebook,,,"I also own an HP <span class=""AS"">notebook</span> and it doesn't even come close.","Pro <span class=""AS"">Notebook</span> Computer (Z0J80001) Notebook and has become such an integral part of completing our daily needs and social networking.","So, I paid a visit to LG <span class=""AS"">notebook</span> service center at Alexandra Road, hoping they can make the hinge tighter.","Most laptops and <span class=""AS"">notebooks</span> are difficult to key on.","After 20-30 min the screen of the <span class=""AS"">notebook</span> switched off.","Otherwise this little <span class=""AS"">notebook</span> has met all my expectations.","If you check you will find the same <span class=""AS"">notebook</span> with the above missing ports and a dual core AMD or Intel processor.","So, if you're thinking of a laptop, I would heartily recommend theApple 13.3 MacBook Pro <span class=""AS"">Notebook</span> Computer","(Z0J80001) <span class=""AS"">Notebook</span> for all your needs!","so we got a good deal on hsn for an ascer <span class=""AS"">notebook</span> and we bought it for him.","I would not recommend this to anyone wanting a <span class=""AS"">notebook</span> expecting the performance of a Desktop it does not meet the expectations.","I bought this <span class=""AS"">notebook</span> and only had it for 3 months If it is overload with updates the BOOT MGR.","MacBook <span class=""AS"">Notebooks</span> quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.","the mcbook pro <span class=""AS"">notebook</span> will make it easy for you to write and read your emails at blazing speeds.","The Apple MC371LL/A 2.4Ghz 15.4-inch MacBook Pro <span class=""AS"">Notebook</span> is a horrible waste of money.","The <span class=""AS"">Notebook</span> PC,Toshiba Qosmio is the best gift my father could have ever gotten me.","So you out of of <span class=""AS"">notebook</span> and money.","This <span class=""AS"">Notebook</span> restarts every time there is a new update, so if you don't save your files and information, everything will be lost.","bought <span class=""AS"">notebook</span> 07/2009.","The black model also has a very nice seamless appearance - one of the better looking <span class=""AS"">notebooks</span> I've seen."
