Term,Alias1,Alias2,Alias3,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
battery life,,,,"The <span class=""AS"">battery life</span> was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.","still testing the <span class=""AS"">battery life</span> as i thought it would be better, but am very happy with the upgrade.","Overall I feel this netbook was poor quality, had poor performance, although it did have great <span class=""AS"">battery life</span> when it did work.","The <span class=""AS"">battery life</span> is probably an hour at best.","My only disappointment with the 13"" model is that they're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer <span class=""AS"">battery life</span> (of about 2 more hours).","The <span class=""AS"">battery life</span> is excellent- 6-7 hours without charging.","A longer <span class=""AS"">battery life</span> would have been great - but it meets it's spec quite easily.","The <span class=""AS"">battery life</span> is great.","and she reports that the <span class=""AS"">battery life</span> lasts all day for her","The <span class=""AS"">battery life</span> also doesn't keep up with the claim","I've been impressed with the <span class=""AS"">battery life</span> and the performance for such a small amount of memory.","The <span class=""AS"">battery life</span> was shorter than expected.","I am pleased with the fast log on, speedy WiFi connection and the long <span class=""AS"">battery life</span> (>6 hrs).","The statement of 7 hour <span class=""AS"">battery life</span> is not just mere exaggeration -- it's a lie.","The <span class=""AS"">battery life</span> seems to be very good, and have had no issues with it.","The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of <span class=""AS"">battery life</span> five days a week.","The <span class=""AS"">battery life</span> is amazing, the versitility is outstanding.","The <span class=""AS"">battery life</span> also doesn't keep up with the claim","10 hours of <span class=""AS"">battery life</span> is really something else....","After a couple of years, my <span class=""AS"">battery life</span> began to diminish but was replaced for free due to a company-wide recall of my particular battery."
batteries,battery,,,"The <span class=""AS"">battery</span> life was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.","still testing the <span class=""AS"">battery</span> life as i thought it would be better, but am very happy with the upgrade.","Overall I feel this netbook was poor quality, had poor performance, although it did have great <span class=""AS"">battery</span> life when it did work.","also the <span class=""AS"">battery</span> is completely shot.","The <span class=""AS"">battery</span> life is probably an hour at best.","My only disappointment with the 13"" model is that they're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer <span class=""AS"">battery</span> life (of about 2 more hours).","And the warranty on this macbook pro can last up to 5 years or 1000 <span class=""AS"">battery</span> recharge cycles.","I know what 7 hrs of <span class=""AS"">battery</span> looks like.","The <span class=""AS"">battery</span> life is excellent- 6-7 hours without charging.","The only bad thing about it is they give you the worst <span class=""AS"">batteries</span> possible.","A longer <span class=""AS"">battery</span> life would have been great - but it meets it's spec quite easily.","The <span class=""AS"">battery</span> life is great.","It's fast and has excellent <span class=""AS"">battery</span> life.","The <span class=""AS"">battery</span> lasts as advertised (give or take 15-20 minutes), and the entire user experience is very elegant.","Eventually my <span class=""AS"">battery</span> wouldn't charge, so unless I had it plugged in it wouldn't even power on.","The <span class=""AS"">battery</span> is really long.","and she reports that the <span class=""AS"">battery</span> life lasts all day for her","Awesome form factor, great <span class=""AS"">battery</span> life, wonderful UX.","The <span class=""AS"">battery</span> life also doesn't keep up with the claim","The <span class=""AS"">battery</span> doesn't last long"
life,,,,"The battery <span class=""AS"">life</span> was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.","still testing the battery <span class=""AS"">life</span> as i thought it would be better, but am very happy with the upgrade.","Overall I feel this netbook was poor quality, had poor performance, although it did have great battery <span class=""AS"">life</span> when it did work.","The battery <span class=""AS"">life</span> is probably an hour at best.","My only disappointment with the 13"" model is that they're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery <span class=""AS"">life</span> (of about 2 more hours).","The battery <span class=""AS"">life</span> is excellent- 6-7 hours without charging.","A longer battery <span class=""AS"">life</span> would have been great - but it meets it's spec quite easily.","The battery <span class=""AS"">life</span> is great.","Having a Mac certainly makes <span class=""AS"">life</span> easier.","and she reports that the battery <span class=""AS"">life</span> lasts all day for her","The battery <span class=""AS"">life</span> also doesn't keep up with the claim","I've been impressed with the battery <span class=""AS"">life</span> and the performance for such a small amount of memory.","A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE <span class=""AS"">LIFE</span> OF 11 HOURS","Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your <span class=""AS"">life</span> that there may be.","The battery <span class=""AS"">life</span> was shorter than expected.","I would rate this computer at 5 stars, but considering it has a short <span class=""AS"">life</span> span I can only give it 1 and implore anyone looking at laptops to stay away from this machine.","Battery <span class=""AS"">life</span> could be better but overall for the price and Toshiba's reputation for laptops","I can't imagine my <span class=""AS"">life</span> without it anymore!","I am pleased with the fast log on, speedy WiFi connection and the long battery <span class=""AS"">life</span> (>6 hrs).","It will make <span class=""AS"">life</span> so much easier next semester, just wish I had it last semester!!"
laptops,laptop,,,"If you're not wanting to be mobile, this is a good <span class=""AS"">laptop</span> to sit on a desk.","This <span class=""AS"">laptop</span> is the most amazing little peice of machinery I have owned outside of the Iphone.","so when I had the money to buy one I bought other things instead....a 700 <span class=""AS"">laptop</span> and some extra stuff with it.","I've had this <span class=""AS"">laptop</span> for about a month now.","They claim that I should be happy because I am getting a new <span class=""AS"">laptop</span> to replace my two-month old laptop.","I found this <span class=""AS"">laptop</span> on sale for under 6000 at Best Buy which was a great deal!","The <span class=""AS"">laptop</span> was very easy to set up.","If you don't like fingerprints, this might not be the <span class=""AS"">laptop</span> for you.","Programs would crash all the time, and it turned out to be a very unstable, unreliable <span class=""AS"">laptop</span> for me.","This is the first time that I tried and owning a netbook although I have used 3 different <span class=""AS"">laptops</span> in the past 10 years, I find not much difference except of course for the screen size.","As an owner of a Toshiba Satalite <span class=""AS"">laptop</span> computer things you should know before you buy.","My mac <span class=""AS"">laptop</span> is fabulous in both areas.","The Toshiba <span class=""AS"">laptop</span> was a great purchase.","My husband got me this for Chrismas after getting me a very expensve <span class=""AS"">laptop</span> that did not work after 2 days.","The So called <span class=""AS"">laptop</span> Runs to Slow","Simple details, crafted aluminium and real glass make this <span class=""AS"">laptop</span> blow away the other plastic ridden, bulky sticker filled laptops.","I'm already hooked on the sleek look and dependability that this <span class=""AS"">laptop</span> has shown.","i think that anyone looking for a good durrable <span class=""AS"">laptop</span> then this is the way to go.","(but Office can be purchased) IF I ever need a <span class=""AS"">laptop</span> again I am for sure purchasing another Toshiba!!","The only thing I wish this had was the option to turn off the touchpad with a button like my big 16"" <span class=""AS"">laptop</span> does."
apple,,,,"Overall very impressed, Thank you <span class=""AS"">Apple</span> and Amazon!","The one thing that <span class=""AS"">Apple</span> does right is computers.",", which <span class=""AS"">Apple</span> doesn't offer, is why I bought my MacBook at Best Buy.","If I have a problem with any of my <span class=""AS"">apple</span> items I make an appointment at one of my local stores and they work on correcting it right there.","The Genius at the <span class=""AS"">Apple</span> store advised me that there was nothing about my use of the computer that caused this failure.","Besides, the <span class=""AS"">apple</span> stocks have been falling due to lack of sales.","This is my first <span class=""AS"">apple</span> laptop.","That was my first <span class=""AS"">Apple</span> product and since then I have been incredibly happy with every product of theirs I have bought.","The <span class=""AS"">Apple</span> engineers have not yet discovered the delete key.","I visited the <span class=""AS"">Apple</span> Store and was impressed with the 17-inch MacBook Pro.","In those three years, I've had a couple of minor problems and both were resolved by <span class=""AS"">Apple</span> quickly and easily.","Despite the claims of the <span class=""AS"">Apple</span> apologists (a vice of which I am recently myself reformed) the internals of Mac laptops are NO different from PCs' at this point.","I had to get <span class=""AS"">Apple</span> Customer Support to correct the problem.","Cheaper than buying it @ <span class=""AS"">apple</span> too!","The Like New condition of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB graphic card (this mini is integrated Intel 4000 card), and it even comes with wireless <span class=""AS"">Apple</span> Keyboard and Mouse, all put together in neat and nice package.","Being a tech savvy, <span class=""AS"">APPLE</span> - product loving person, I'm glad I finally got the MacBook Pro!","Before i bought my new i5, I did my research for about 2 weeks and determined to move for HP to <span class=""AS"">Apple</span> for reliability, dependable, and long lasting operations.","can never go wrong with <span class=""AS"">apple</span> products.","No complaints for an <span class=""AS"">Apple</span> product.","The <span class=""AS"">apple</span> MacBook is the best investment that I have ever made."
software,,,,"The screen, the <span class=""AS"">software</span> and the smoothness of the operating system.","I don't have stupid pop up windows (even when I have pop ups blocked), I don't have to wait 5 minutes for a webpage to download, and best of all I can run all the web programming <span class=""AS"">software</span> I need to use all at once without slowing me down.","but it comes with the full <span class=""AS"">software</span> that you would actually need and most of it has free future updates.","Once I removed all the <span class=""AS"">software</span> the laptop loads in 15-20 seconds.","With a mac you don't have to worry about antivirus <span class=""AS"">software</span> or firewall, it's so wonderful.","It does not even have the <span class=""AS"">software</span> to play a dvd now.","Everything is so easy to use, Mac <span class=""AS"">software</span> is just so much simpler than Microsoft software.","You can call HP and they want you to buy more <span class=""AS"">software</span> to fix it.","As with any laptop not purchased with <span class=""AS"">software</span> options, it comes with a lot of what I consider useless applications.","It just works out of the box and you have a lot of cool <span class=""AS"">software</span> included with the OS.","They have developed excellent proprietary <span class=""AS"">software</span> for editing video and pictures","You can even run a parallels type program easily and run any leftover PC <span class=""AS"">software</span> that you absolutely cannot be without.","It seemed to be a very nice laptop except I was not able to load my Garmin GPS <span class=""AS"">software</span> or Microsoft Office 2003.","The only downfall is a lot of the <span class=""AS"">software</span> I have won't work with Mac and iWork is not worth the price of it.","Love the stability of the Mac <span class=""AS"">software</span> and operating system.","The only thing I didn't learn in my research was the <span class=""AS"">software</span> I would need like privacy protection and warranty protection, in case it gets broken, or crashes etc.","We don't support <span class=""AS"">software</span> but for $$$ we can help you",""" I explained there was no <span class=""AS"">software</span> involved in booting.","Aside from the trial <span class=""AS"">software</span> and the short battery life, lack of a webcam, its great.","Just beware no DVD slot so when I went to install <span class=""AS"">software</span> I had on CD"
use,,,,"I mainly <span class=""AS"">use</span> it for email, internet, and managing personal files (pics, vids, etc.).","It made the computer much easier to <span class=""AS"">use</span> and navigate.","this takes a little getting <span class=""AS"">use</span> to.","The Genius at the Apple store advised me that there was nothing about my <span class=""AS"">use</span> of the computer that caused this failure.","Bought it to <span class=""AS"">use</span> mostly for oline classes.","A mac is very easy to <span class=""AS"">use</span> and it simply makes sense.","The cool thing about this is anyone can <span class=""AS"">use</span> it.","you can't track down, or it overheats, sometimes even catches on fire, you just can't <span class=""AS"">use</span> it.","I can barely <span class=""AS"">use</span> any usb devices because they will not stay connected properly.","Strong performance in this device makes <span class=""AS"">use</span> of fun and a strong sense of the era of speed This device serves all modern requirements is a very strong game and is very useful for designers.","touchpad mode is interesting, and easy to <span class=""AS"">use</span> -5","and it comes with the new OSX that comes with new features that makes the <span class=""AS"">use</span> more easy.","Great laptop for school, easy to <span class=""AS"">use</span> for beginners in the household.","I was also able to install and <span class=""AS"">use</span> my Photoshop and AfterEffects programs easily.","Comfterbale to <span class=""AS"">use</span> light easy to transport.","I don't have stupid pop up windows (even when I have pop ups blocked), I don't have to wait 5 minutes for a webpage to download, and best of all I can run all the web programming software I need to <span class=""AS"">use</span> all at once without slowing me down.","i love to <span class=""AS"">use</span> it it is esay and light.","But to be honest, I don't <span class=""AS"">use</span> my computer for anything like graphics editing and complex data analysis and gaming.","It has easy to <span class=""AS"">use</span> features and all the speed and power I could ask for.","A great computer for light home <span class=""AS"">use</span> and business use."
computers,computer,,,"This <span class=""AS"">computer</span> was so challenging to carry and handle.","so I was forced to go out and buy new hardware just to keep this <span class=""AS"">computer</span> running.","It's wonderful for <span class=""AS"">computer</span> gaming.","Nothing wrong with this <span class=""AS"">computer</span> at all!","The <span class=""AS"">computer</span> is currently in West Verginia doe to the method of shipping choosen by Toshiba.","It made the <span class=""AS"">computer</span> much easier to use and navigate.","The applications are also very easy to find and maneuver, much easier than any other <span class=""AS"">computer</span> I have ever owned.","This <span class=""AS"">computer</span> is the ideal college companion.","This was the second <span class=""AS"">computer</span> and brand bought that day.","I had this <span class=""AS"">computer</span> for one month and had to send it in for repair.","Apple continues to shine and provide a much more enjoyable <span class=""AS"">computer</span> experience!","The acer one <span class=""AS"">computer</span> that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it.","The Genius at the Apple store advised me that there was nothing about my use of the <span class=""AS"">computer</span> that caused this failure.","I am used to <span class=""AS"">computers</span> with windows","if this <span class=""AS"">computer</span> every breaks down on me i will most definatly get the same one again.","As an owner of a Toshiba Satalite laptop <span class=""AS"">computer</span> things you should know before you buy.","This <span class=""AS"">computer</span> is absolutely AMAZING!!!","If your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a <span class=""AS"">computer</span> to work for you for a change, make the change to this computer.","It is a great <span class=""AS"">computer</span> for that","When this happened I would have to completely power off my <span class=""AS"">computer</span> and restart it."
machine,,,,"All the above aside this <span class=""AS"">machine</span> ROCKS!","The <span class=""AS"">machine</span> has a bluray player the book has no mention of it or how to connect it to your HDTV.","Finally was able to reach a young lady in California and ordered the <span class=""AS"">machine</span> and was subsequently given a delivery date.","great <span class=""AS"">machine</span> if you want to drop the cash for one.","If what you need is a <span class=""AS"">machine</span> to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.","This <span class=""AS"">machine</span> delivers.","and they replaced the awesome ergonomic small lightweight power supply with a power supply that weighed more than the <span class=""AS"">machine</span> itself.","Now the <span class=""AS"">machine</span> won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days","I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful <span class=""AS"">machine</span> for a great price.","This <span class=""AS"">machine</span> is flawless, fast, and classy.","The feel of this <span class=""AS"">machine</span> compared to the old MacBook is far superior.","The <span class=""AS"">machine</span> is speedy and efficient.","without a big ol' clunky <span class=""AS"">machine</span> in my backpack, I feel like I can do programming homework anywhere.","I got a new or repaired <span class=""AS"">machine</span> approximately 3 weeks later.","My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this <span class=""AS"">machine</span> just caused another plunge.","With a healthy pessimism, I took the <span class=""AS"">machine</span> home and tried to find a flaw.","The <span class=""AS"">machine</span> is slow to boot up and occasionally crashes completely.","The <span class=""AS"">machine</span> is used, but is like new, i'm very impress.","This <span class=""AS"">machine</span> was a horrible experience.","If you're looking for something to fly through those massive spreadsheets or play a graphics-intensive game, you'd be better off getting a <span class=""AS"">machine</span> aimed at that segment of the market."
webcam,,,,"The built-in <span class=""AS"">webcam</span> is great for Skype and similar video-chat services.","I wish it had a <span class=""AS"">webcam</span> though, then it would be perfect!","Now when I order I did not go full scale for the <span class=""AS"">webcam</span> or full keyboard","I got it back and my built-in <span class=""AS"">webcam</span> and built-in mic were shorting out anytime","oh yeah, and if the fancy <span class=""AS"">webcam</span> breaks guess who you have to send it to to get it fixed?"
