Term,Alias1,Alias2,Alias3,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
atmosphere,,,,"The <span class=""AS"">atmosphere</span> is relaxed and casual.","The <span class=""AS"">atmosphere</span> is warm, comfortable, artsy and sexy.","While the ambiance and <span class=""AS"">atmosphere</span> were great, the food and service could have been a lot better.","The <span class=""AS"">atmosphere</span> is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon.","The staff makes you feel at home, the food is great and the <span class=""AS"">atmosphere</span> is WONDERFUL!","Eating in, the <span class=""AS"">atmosphere</span> saves it, but at your desk, it's a very disappointing experience.","For those prices and the dressed up <span class=""AS"">atmosphere</span> you expect more and should get more.","I would highly recommend this place to anyone looking for a casual <span class=""AS"">atmosphere</span> that whisks you away to the left bank of the river Seine.","The <span class=""AS"">atmosphere</span> is attractive, but a little uncomfortable.","The <span class=""AS"">atmosphere</span> is unheralded, the service impecible, and the food magnificant.","Everyone raved about the <span class=""AS"">atmosphere</span> (elegant rooms and absolutely incomparable views) and the fabulous food!","The design and <span class=""AS"">atmosphere</span> is just as good.","The <span class=""AS"">atmosphere</span> is unheralded, the service impecible, and the food magnificant.","Not only is the service great, but forming conversation around a table is so easy beacuse the <span class=""AS"">atmosphere</span> can be both romantic and comfortable.","Rao's has the best service and <span class=""AS"">atmosphere</span> in NYC.","His wife Tanya, the hostess, completes the comforting <span class=""AS"">atmosphere</span> by being delightfully warm and gracious.","Delicious food, excellent service, and a pretty <span class=""AS"">atmosphere</span> make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!","I almost hesititate to write a review because the <span class=""AS"">atmosphere</span> was so great","The service was friendly and the <span class=""AS"">atmosphere</span> was casual.","The service was friendly and the <span class=""AS"">atmosphere</span> was casual."
meal,,,,"We could have made a <span class=""AS"">meal</span> of the yummy dumplings from the dumpling menu.","I had before the <span class=""AS"">meal</span> were quite good, however.","Looking around, I saw a room full of New Yorkers enjoying a real <span class=""AS"">meal</span> in a real restaurant, not a clubhouse of the fabulous trying to be seen.","So for a filling and healthy <span class=""AS"">meal</span> give it a go.","You can get an excellent <span class=""AS"">meal</span> at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.","I can't say any more, it a place you'll never forget If you never go, you'll miss A <span class=""AS"">Meal</span> of your life time","I asked repeatedly what the status of the <span class=""AS"">meal</span> was and was pretty much grunted at by the unbelievably rude waiter.","It's simply the best <span class=""AS"">meal</span> in NYC.","It's simply the best <span class=""AS"">meal</span> in NYC.","So if you want a nice, enjoyable <span class=""AS"">meal</span> at Montparnasse, go early for the pre-theater prix-fixe.","If you'd like to have a nice light <span class=""AS"">meal</span> with an asian accent, Long Tan is a good place on the slope.","Best <span class=""AS"">meal</span> in a long time!","Appetizer are excellent here; you can make a great (and inexpensive) <span class=""AS"">meal</span> out of them.","The meat is fresh, the sauces are great, you get kimchi and a salad free with your <span class=""AS"">meal</span> and service is good too.","We have never had any problems with charging the <span class=""AS"">meal</span> or the tip, and the food was delivered quickly, but we live only a few minutes walk from them.","Our favorite <span class=""AS"">meal</span> is a pesto pizza, the house salad, and a good bottle of wine.","Had a great <span class=""AS"">meal</span> there this weekend before heading to the movies!","Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good <span class=""AS"">meal</span> at a fair price.","We had a wonderful <span class=""AS"">meal</span> at Naples 45 a month ago on a visit to NYC.","What an amazing <span class=""AS"">meal</span> and experience!"
dishes,dish,,,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a <span class=""AS"">dish</span> it must be the pumkin tortelini.","Very popular style Izakaya (Sake and small portion of sake-friendly <span class=""AS"">dishes</span> ).","I really liked the noodle <span class=""AS"">dishes</span> at Rice Avenue compared to their Green Curry dish.","The menu is limited but almost all of the <span class=""AS"">dishes</span> are excellent.","The <span class=""AS"">dishes</span> came out around 5 minutes apart.","When the <span class=""AS"">dish</span> arrived it was blazing with green chillis, definitely not edible by a human.","This <span class=""AS"">dish</span> is my favorite","Best <span class=""AS"">dish</span> is nori-wrapped tuna.","Meat <span class=""AS"">dishes</span> now adorn the selections, although there's still a large number of vegetarian-friendly choices.","You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty <span class=""AS"">dishes</span> here.","I've enjoyed 99% of the <span class=""AS"">dishes</span> we've ordered with the only exceptions being the occasional too-authentic-for-me dish (I'm a daring eater but not THAT daring).","We saw them heating up at least one frozen item though I'm not sure which dim sum <span class=""AS"">dish</span> it was.","And it all comes at a very reasonable price (congee, noodles, and rice <span class=""AS"">dishes</span> are no more than $3-6 each).","Good, because hey, it's more food, but bad because dim sum is supposed to be smaller portions so you can try out more <span class=""AS"">dishes</span> and smaller so that each dish is cheap.","I had the salmon <span class=""AS"">dish</span> and while it was fine, for the price paid, I expected it to have some type of flavor.","While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty <span class=""AS"">dishes</span> that are genuinely Indian without being heavy or same old restaurant burn-outs.","The food is delicious - from the specials to the regular menu-fare, the <span class=""AS"">dishes</span> are never a disappointment.","They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our <span class=""AS"">dishes</span> on the table.","I found the food to be outstanding, particulary the salmon <span class=""AS"">dish</span> I had.","I ordered a Chicken Teriyaki <span class=""AS"">dish</span> and found that the chicken was extremely dry."
food,,,,"The have over 100 different beers to offer thier guest so that made my husband very happy and the <span class=""AS"">food</span> was delicious, if I must recommend a dish it must be the pumkin tortelini.","When the bill came, nothing was comped, so I told the manager very politely that we were willing to pay for the wine, but I didn't think I should have to pay for <span class=""AS"">food</span> with a maggot in it.","The <span class=""AS"">food</span> was well prepared and the service impecable.","The <span class=""AS"">food</span> was average or above including some surprising tasty dishes.","The staff is 100% Italian and the <span class=""AS"">food</span> is as authentic as it gets.","The <span class=""AS"">food</span> is great and authentic.","The last two times I ordered from here my <span class=""AS"">food</span> was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.","The <span class=""AS"">food</span> was just awful, ATROCIOUS actually.","The <span class=""AS"">food</span> is reliable and the price is moderate.","Gross <span class=""AS"">food</span> – Wow-","The <span class=""AS"">food</span> is great and they have a good selecion of wines at reasonable prices.","Joya used to be a cool spot with decent <span class=""AS"">food</span> and a colorful - if not relaxed - atmosphere.","The <span class=""AS"">food</span> was actually aweful.","The <span class=""AS"">food</span> is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.","Waiters tend to forget drinks completely, <span class=""AS"">food</span> portions are so tiny, two people have trouble sharing one entree.","The <span class=""AS"">food</span> was exceptional.","and I must say how delicous the <span class=""AS"">food</span> and the service was.","While the ambiance and atmosphere were great, the <span class=""AS"">food</span> and service could have been a lot better.","The vibe is very relaxed and cozy, service was great and the <span class=""AS"">food</span> was excellent!","I can't remember the last time I had such gross <span class=""AS"">food</span> in New York."
staff,,,,"Our waiter was friendly and it is a shame that he didnt have a supportive <span class=""AS"">staff</span> to work with.","The <span class=""AS"">staff</span> is 100% Italian and the food is as authentic as it gets.","The dessert (we had a pear torte) was good - but, once again, the <span class=""AS"">staff</span> was unable to provide appropriate drink suggestions.","The <span class=""AS"">staff</span> offers impeccable service.","We, there were four of us, arrived at noon - the place was empty - and the <span class=""AS"">staff</span> acted like we were imposing on them","The <span class=""AS"">staff</span> is incredibly helpful and attentive.","Since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly <span class=""AS"">staff</span> welcomes you - don't hesitate to ask for help with what to get.","I cannot imagine a friendlier <span class=""AS"">staff</span> working in a restaurant.","Cute place, nice wait <span class=""AS"">staff</span> but would never go there again.","Had no flavor and the <span class=""AS"">staff</span> is rude and not attentive.","This place has the the correct ambience and an excellent <span class=""AS"">staff</span> to make you feel like a guest and a friend at the same time.","The wait <span class=""AS"">staff</span> was very attentive and polite.","Winnie and her <span class=""AS"">staff</span> are the best crew you can find serving you.","The <span class=""AS"">staff</span> makes you feel at home, the food is great and the atmosphere is WONDERFUL!","And the <span class=""AS"">staff</span> is also young, energeic and hot!!!!","Saturday, Nov. 6th I had a group from work come in with about 35 people and the <span class=""AS"">staff</span> was amazing to accomodate us.","The <span class=""AS"">staff</span> there is very attentive and down to earth.","THIS <span class=""AS"">STAFF</span> SHOULD BE FIRED.","I had to flag down a third <span class=""AS"">staff</span> person for a fork...","While the <span class=""AS"">staff</span> at this little bistro is very friendly, I have never experienced more incompetency."
waiter,,,,"Our <span class=""AS"">waiter</span> was friendly and it is a shame that he didnt have a supportive staff to work with.","The <span class=""AS"">waiter</span> was attentive.","When my dessert came, there was a candle in it - not because anyone asked for one - but because the <span class=""AS"">waiter</span> must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.","Just bring someone who speaks Cantonese because <span class=""AS"">waiter</span> may not understand you.","excuse me’ before the <span class=""AS"">waiter</span> opens the little curtain to your booth!","Our <span class=""AS"">waiter</span> was helpful and charming, the food was perfect, and the wine was good, too.","We also asked for Hooka six times and the <span class=""AS"">waiter</span> kept telling us one minute and never returning with the Hooka.","The food was delicious and the <span class=""AS"">waiter</span> was incredibly helpful and attentive (considering we were the only ones there for the first hour).","Downtown Dinner 2002 - Prixe fix: Appetizers were ok, <span class=""AS"">waiter</span> gave me poor suggestion..try the potato stuff kanish best one.","One would think we'd get an apology or complimentary drinks - instead, we got a snobby <span class=""AS"">waiter</span> wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.","The service was spectacular as the <span class=""AS"">waiter</span> knew everything about the menu and his recommendations were amazing!","It is far more popular as a bar than as a restaurant, with only a few tables and the <span class=""AS"">waiter</span> being the bartender, but we greatly enjoyed the unobtrusive atmosphere.","We asked for sides which the <span class=""AS"">waiter</span> than admitted that he forgot to put in that part of our order.","My host asked for appetizers for the group and the <span class=""AS"">waiter</span> gave us not only what we ordered, but some other items that were not ordered.","One would think we'd get an apology or complimentary drinks - instead, we got a snobby <span class=""AS"">waiter</span> wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.","Immediately after we paid, the <span class=""AS"">waiter</span> took the money and said, okay, you guys are outta here.","The <span class=""AS"">waiter</span> delivered our food while holding what appeared to be a plastic bag of garbage in one hand.","First, the <span class=""AS"">waiter</span> who served us neglected to fill us in on the specials, which I would have chosen had I known about them.","We were seated outside and the <span class=""AS"">waiter</span> spilled red wine and hot tea on myself and my date.","When my dessert came, there was a candle in it - not because anyone asked for one - but because the <span class=""AS"">waiter</span> must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort."
chicken,,,,"For dinner I had the <span class=""AS"">chicken</span> tikka-masala and some garlic naan.","I recommend the jelly fish, drunken <span class=""AS"">chicken</span> and the soupy dumplings, certainly the stir fry blue crab.","The <span class=""AS"">chicken</span> pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.","Yum, the <span class=""AS"">chicken</span> is great here.","I recommend the jelly fish, drunken <span class=""AS"">chicken</span> and the soupy dumplings, certainly the stir fry blue crab.","I recomend the <span class=""AS"">chicken</span> milanese.","My <span class=""AS"">chicken</span> was inedible as there were so many fatty lumps which i had to keep spitting out into my napkin.","The food is great, I love their dumplings, cold sesame noodles, <span class=""AS"">chicken</span> and shrimp dishs.","one of the best <span class=""AS"">Chicken</span> Tikka Masala.","The <span class=""AS"">chicken</span> and steak were seasoned and cooked to perfection, and the lamb sandwhich is great for heartier appetites.","I ordered a <span class=""AS"">Chicken</span> Teriyaki dish and found that the chicken was extremely dry.","We ordered the <span class=""AS"">chicken</span> casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.","The only thing I moderately enjoyed was their Grilled <span class=""AS"">Chicken</span> special with Edamame Puree.","For dinner I had the <span class=""AS"">chicken</span> tikka-masala and some garlic naan.","Half a <span class=""AS"">chicken</span> with a mountain of rice and beans for $6.25.","We ordered our appetizers, I ordered the <span class=""AS"">chicken</span> and my boyfriend the salmon.","Especially liked <span class=""AS"">chicken</span> tikka and the naan, and the dals.","Prices are higher to dine in and their <span class=""AS"">chicken</span> tikka marsala is quite good.","I LOVE their Thai noodles with shrimp and <span class=""AS"">chicken</span> and coconut juice is the MUST!","the pad se ew <span class=""AS"">chicken</span> was delicious, however the pad thai was far too oily."
dinner,,,,"For <span class=""AS"">dinner</span> I had the chicken tikka-masala and some garlic naan.","Similar to other Indian restaurants, they use the <span class=""AS"">dinner</span> special to attract customers at the door.","Shockingly easy to throw a group <span class=""AS"">dinner</span> here: simple contract, deposit only to hold the date the entire 2nd fl mezz for our grp of 20.","Good for casual <span class=""AS"">dinner</span> with jeans and sneakers.","I had a late <span class=""AS"">dinner</span> at Lucky Stike, a great name for a joint if ever I saw one.","The <span class=""AS"">dinner</span> was ok, nothing I would have again.","Had a late night <span class=""AS"">dinner</span> on a Saturday night.","pre-theatre 3-course <span class=""AS"">dinner</span> with wine flight.","I would highly recommend Nina's to anyone who wants to have a romantic <span class=""AS"">dinner</span> in a heart warming surrounding filled with candles and family pictures.","My boyfriend and I recently had an early <span class=""AS"">dinner</span> at Artisanal and was satisfied with our experience.","This restaurant used to be our regular Thursday night <span class=""AS"">dinner</span> location.","I attended a holiday <span class=""AS"">dinner</span> at the restaurant, and the food was majorly disappointing.","their <span class=""AS"">dinner</span> specials are fantastic.","To finish off such a delightful <span class=""AS"">dinner</span> experience you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate.","you really can't top the setting for a romantic <span class=""AS"">dinner</span> in NYC.","My wife and I recently visited the bistro for <span class=""AS"">dinner</span> and had a wonderful experience.","For <span class=""AS"">dinner</span> I had the chicken tikka-masala and some garlic naan.","Downtown <span class=""AS"">Dinner</span> 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.","Had a late night <span class=""AS"">dinner</span> on a Saturday night.","The prices are about $9 for an entree for <span class=""AS"">dinner</span> and even less for lunch."
service,,,,"The <span class=""AS"">service</span> was attentive.","The food was well prepared and the <span class=""AS"">service</span> impecable.","Ambience is delightful, <span class=""AS"">service</span> impeccable.","The wine the <span class=""AS"">service</span> was very good too.","The <span class=""AS"">service</span> was ok.","I found the food, <span class=""AS"">service</span> and value exceptional everytime I have been there.","and I must say how delicous the food and the <span class=""AS"">service</span> was.","While the ambiance and atmosphere were great, the food and <span class=""AS"">service</span> could have been a lot better.","The vibe is very relaxed and cozy, <span class=""AS"">service</span> was great and the food was excellent!","and I must say how delicous the food and the <span class=""AS"">service</span> was.","The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the <span class=""AS"">service</span> professional wan warm.","The wine the <span class=""AS"">service</span> was very good too.","The <span class=""AS"">service</span> was excellent and the food was delicious.","The <span class=""AS"">service</span> is always bad though, don't expect much of anything from your server, and I would not recommend bringing a date here either.","The <span class=""AS"">service</span> is ok, some of the people didn't get what they asked for.","The drinks are a saving grace, but <span class=""AS"">service</span> staff, please, get over yourselves.","Not only is the cuisine the best around, the <span class=""AS"">service</span> has always been attentive and charming.","Not to be overlooked, the <span class=""AS"">service</span> is excellent.","He offers subpar <span class=""AS"">service</span> and has no personality.","Although the tables may be closely situated, the candle-light, food-quality and <span class=""AS"">service</span> overcompensate."
eats,eat,,,"And when I visit her I make it a point to <span class=""AS"">eat</span> at 'Ino at least once daily if not once for the whole trip.","The last two times I ordered from here my food was soo spicy that  I could barely <span class=""AS"">eat</span> it, and the spice took away from the flavor of the dish.","I go and <span class=""AS"">eat</span> out at many different restaurants and this is one place you have go and try.","We were exploring Grand Central and didn't want to <span class=""AS"">eat</span> in the food court.","Since I cook for a living, I'm very fussy about the food I <span class=""AS"">eat</span> in restaurants.","If you are looking for a good quality, cheap <span class=""AS"">eats</span> - this is the place.","You get what you pay for and with that logic in mind, Spice is a great place to grab some cheap <span class=""AS"">eats</span> and drinks in a beautiful setting.","The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd <span class=""AS"">eat</span> another one of these.","I don't know about you guys, but when I go somewhere to <span class=""AS"">eat</span> I go for the food not for the atmosphere.","We come from New Jersey to <span class=""AS"">eat</span> at Kinoko.","For an untrendy rip-off- <span class=""AS"">eat</span> here.","Anyways, if you're in the neighborhood to <span class=""AS"">eat</span> good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.","The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to <span class=""AS"">eat</span> authentic Taiwanese.","The all you can <span class=""AS"">eat</span> deal is truly amazing here.","There was a small group of us looking somewhere to <span class=""AS"">eat</span> kinda late on a weeknight and we ended up at Pastis.","For the price, you cannot <span class=""AS"">eat</span> this well in Manhattan.","I CAN <span class=""AS"">EAT</span> HERE EVERY DAY OF THE WEEK REALLY LOL LOVE THIS PLACE ...)","I have reservations about the all you can <span class=""AS"">eat</span> deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.","jazz singer had a nice voice + she made us all get up to dance to shake some cals to <span class=""AS"">eat</span> some more.","Everything is excellent, the menu is quite extensive, and you <span class=""AS"">eat</span> with a view on both sides of the city."
