Term,Alias1,Alias2,Alias3,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
feel,,,,"Chance is a small cozy restaurant, with a romantic <span class=""AS"">feel</span> to it, the decor is great.","i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me <span class=""AS"">feel</span> bad asking for trivialities like water, or the check.","The staff makes you <span class=""AS"">feel</span> at home, the food is great and the atmosphere is WONDERFUL!","but I <span class=""AS"">feel</span> obligated...while sitting at the sushi bar dining we watched the chef accidentally drop a piece of Unagi on the floor and upon retrieving it from the floor","The servers at Flatbush Farm appear to have perfected that ghastly technique of making you <span class=""AS"">feel</span> guilty and ashamed for deigning to attract their attention.","Consequently, their burgers fell apart in their hands and made such a mess that they did'nt <span class=""AS"">feel</span> like finishing them.","I had been searching really hard for a restaurant in New York where I could really <span class=""AS"">feel</span> unwanted and ignored and I finally found it!","i would recommend Jewel Bako if you want to <span class=""AS"">feel</span> like you were kicked in the groin and had to pay for it too.","From the moment you walk in, you <span class=""AS"">feel</span> like you're in the perfect place.","This place is cool enough to be in the East Village, but French enough to make you <span class=""AS"">feel</span> like you could be in a bistro in a back alley in Paris.","Here you get the zen <span class=""AS"">feel</span> without feeling rigid.","i actually <span class=""AS"">feel</span> like i should keep it a secret.","Filled with suits, though, so you never really <span class=""AS"">feel</span> terribly comfortable.",", the waitstaff did not rush us at all and made us <span class=""AS"">feel</span> comfortable and relaxed.","This place is pricey, and yes, the food is worth it; but the service makes you <span class=""AS"">feel</span> like you should be paying a quater of the price.","Go there to relax and <span class=""AS"">feel</span> like your somewhere else.","Fabulous decor - makes you <span class=""AS"">feel</span> like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!","It was delish and I didn't <span class=""AS"">feel</span> bad eating it.","The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you <span class=""AS"">feel</span> like eating, whether it's on the menu or not.","Some servers make you <span class=""AS"">feel</span> like they are doing you a favor to bring you the food."
decor,,,,"Chance is a small cozy restaurant, with a romantic feel to it, the <span class=""AS"">decor</span> is great.","The <span class=""AS"">decor</span> is nice, but more casual than fine dining.","Service is extraordinary, yet not overbearing, and the <span class=""AS"">decor</span> brings a taste of trendy SoHo into Queens.","The place's <span class=""AS"">decor</span> and hidden bathrooms made for a good laugh.","The blond wood <span class=""AS"">decor</span> is very soothing, the premium sake is excellent and the service is great.","Everything is always cooked to perfection, the service is excellent, the <span class=""AS"">decor</span> cool and understated.","The service is excellent, the <span class=""AS"">decor</span> is great, and the food is delicious and comes in large portions.","Baluchi's has solid food and a nice <span class=""AS"">decor</span> at reasonable prices.","The <span class=""AS"">decor</span> in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.","The <span class=""AS"">decor</span> is very simple but comfortable.","The <span class=""AS"">decor</span> is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.","The place's <span class=""AS"">decor</span> and hidden bathrooms made for a good laugh.","this little place has a cute interior <span class=""AS"">decor</span> and affordable city prices.","The <span class=""AS"">decor</span> is designed in a contemporary Japanese style restaurant.","The <span class=""AS"">decor</span> is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.","The food was as creative as the <span class=""AS"">decor</span> and both worked.","Fabulous <span class=""AS"">decor</span> - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!","Everything is always cooked to perfection, the service is excellent, the <span class=""AS"">decor</span> cool and understated.","The <span class=""AS"">decor</span> is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.","There is actually space to breathe and the <span class=""AS"">decor</span> sets the tone for an intimate dinner."
location,,,,"The <span class=""AS"">location</span> is perfect.","This particular <span class=""AS"">location</span> certainly uses substandard meats.","The <span class=""AS"">location</span> and ambience is Ok but the food is what makes up for it.","The <span class=""AS"">location</span> and ambience is Ok but the food is what makes up for it.","Skip this <span class=""AS"">location</span> and go to the one in Soho.","The <span class=""AS"">location</span> is perfect.","Its <span class=""AS"">location</span> is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.","I am going to the mid town <span class=""AS"">location</span> next.","Skip this <span class=""AS"">location</span> and go to the one in Soho.","Unfortunately, unless you live in the neighborhood, it's not in a convenient <span class=""AS"">location</span> but is more like a hidden treasure.","Its a nice quiet <span class=""AS"">location</span> to go eat a good meal, relax, be able to talk and have a very good time."
tea,,,,"We were seated outside and the waiter spilled red wine and hot <span class=""AS"">tea</span> on myself and my date.","They have a delicious banana chocolate dessert, as well as a great green <span class=""AS"">tea</span> tempura.","we decided to eat in <span class=""AS"">tea</span> room which was small and cute.","The highly spiced chai <span class=""AS"">tea</span> was great too.","Just make sure my ice water is kept full and my <span class=""AS"">tea</span> kettle filled with piping hot tea and that's all the service I need...","If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and <span class=""AS"">tea</span> with tapioca pearls (hot).","We were seated outside and the waiter spilled red wine and hot <span class=""AS"">tea</span> on myself and my date."
wines,wine,,,"We were seated outside and the waiter spilled red <span class=""AS"">wine</span> and hot tea on myself and my date.","Very romantic fires - I've literally spent hours at Lanterna, drinking <span class=""AS"">wine</span> from their extensive wine and enjoying the ambience.","Great <span class=""AS"">wine</span> selection, Gigondas is worth the price, and the house champagne is a great value.","The <span class=""AS"">wine</span> list is extensive and can easily hike up an otherwise reasonably priced meal.","The table next to us asked if he crushed the grapes himself when their long overdue bottle of <span class=""AS"">wine</span> finally arrived.","We got no cheese offered for the pasta, our water and <span class=""AS"">wine</span> glasses remained EMPTY our entire meal, when we would have easily spent another $20 on wine.","The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the <span class=""AS"">wine</span> list is extensive and well priced.","The food was extremely tasty, creatively presented and the <span class=""AS"">wine</span> excellent.","We ordered a glass of <span class=""AS"">wine</span> and were finished eating and paying before the wine came.","There was a great deal for 6 Blue Point oysters and a beer or glass of <span class=""AS"">wine</span> for $8!","Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for <span class=""AS"">wine</span> and cheese.","pre-theatre 3-course dinner with <span class=""AS"">wine</span> flight.","Decent <span class=""AS"">wine</span> at reasonable prices.","Slightly above average <span class=""AS"">wines</span> start at $70+ with only one selection listed at $30+.","I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and <span class=""AS"">wine</span> for the gods at mortal prices.","The <span class=""AS"">wine</span> list is also really nice.","I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and <span class=""AS"">wine</span> for the gods at mortal prices.","The food is great and they have a good selecion of <span class=""AS"">wines</span> at reasonable prices.","Solid <span class=""AS"">wine</span> list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back.","The <span class=""AS"">wine</span> list is also really nice."
waiters,waiter,,,"We were seated outside and the <span class=""AS"">waiter</span> spilled red wine and hot tea on myself and my date.","i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a <span class=""AS"">waiter</span> intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.","Our <span class=""AS"">waiter</span> and all of the people helping him were attentive and genuine.","The <span class=""AS"">waiters</span> were not attentive except that the bill turned up on the table before we were finished.","We also asked for Hooka six times and the <span class=""AS"">waiter</span> kept telling us one minute and never returning with the Hooka.","After 2 tries by the <span class=""AS"">waiter</span> to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.","We asked for sides which the <span class=""AS"">waiter</span> than admitted that he forgot to put in that part of our order.","The food is so cheap and the <span class=""AS"">waiters</span> are nice.","One would think we'd get an apology or complimentary drinks - instead, we got a snobby <span class=""AS"">waiter</span> wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.","Our <span class=""AS"">waiter</span> was helpful and charming, the food was perfect, and the wine was good, too.","because the <span class=""AS"">waiters</span> need SEVERE ATTITUE ADJUSTMENTS.","There was only one <span class=""AS"">waiter</span> for the whole restaurant upstairs.","It is far more popular as a bar than as a restaurant, with only a few tables and the <span class=""AS"">waiter</span> being the bartender, but we greatly enjoyed the unobtrusive atmosphere.","The <span class=""AS"">waiter</span> was attentive.","Immediately after we paid, the <span class=""AS"">waiter</span> took the money and said, okay, you guys are outta here.","Not only was the <span class=""AS"">waiter</span> efficient and courteous, but also extremely helpful.","Our agreed favorite is the orrechiete with sausage and chicken (usually the <span class=""AS"">waiters</span> are kind enough to split the dish in half","When my dessert came, there was a candle in it - not because anyone asked for one - but because the <span class=""AS"">waiter</span> must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.","I always find myself asking the <span class=""AS"">waiter</span> to make something bland and different than what is on the menu.","Each time we've been, the front of house staff (not the <span class=""AS"">waiters</span> - they're fantastic - but the people who greet and seat you) has been so hideous to us that were it not for the exceptional fish dishes I would never return."
waitress,,,,"The <span class=""AS"">waitress</span> was very patient with us and the food is phenomenal!","When we were finally seated our <span class=""AS"">waitress</span> came by twice-1 for our order and 2-for our check.","The <span class=""AS"">waitress</span> appeared and asked us if we wanted to go ahead and order.","At this point, the <span class=""AS"">waitress</span> comes over and asks us if everything was okay, I was literally so shocked that I was speechless and didn't say anything, and guess what, the waitress WALKED away.","The <span class=""AS"">waitress</span> was very patient with us and the food is phenomenal!","The <span class=""AS"">waitress</span> was not attentive at all.","I mentioned the squid dish wasn't very good when the <span class=""AS"">waitress</span> visited.","When she complained, the <span class=""AS"">waitress</span> said, Sorry.","We were planning to get dessert but the <span class=""AS"">waitress</span> basically through the bill at us before we had a chance to order.","Our <span class=""AS"">waitress</span> wasn't mean, but not especially warm or attentive either.","Again, the <span class=""AS"">waitress</span> was awesome.","Knowledge of the chef and the <span class=""AS"">waitress</span> are below average.","The <span class=""AS"">waitress</span> suggested glasses of wine that went very well with the food.","Every <span class=""AS"">waitress</span> and customer who passed by me bumped into my chair.","What can you say about a place where the <span class=""AS"">waitress</span> brings out the wrong entree, then verbally assaults your 80 year old grandmother and gives her lip about sending it back (which she did politely, by the way).","The <span class=""AS"">waitress</span> came by to pick up the soy sauce WHILE we were eating our lunch!!!!!","First off, the <span class=""AS"">waitress</span> was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.","The <span class=""AS"">waitress</span> moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...","The only weird thing was if we got a bottle, the <span class=""AS"">waitress</span> would have simply multiplied the glass price X4, which makes no sense whatsoever.","Last time I went here, the <span class=""AS"">waitress</span> didn't come back after taking our order."
foods,food,,,"The waitress was very patient with us and the <span class=""AS"">food</span> is phenomenal!","You can eat gourmet <span class=""AS"">food</span> at a fast food price.","To be fair, the <span class=""AS"">food</span> still is good and the service is quick and attentative even though its usually very busy.","I am happy i did the <span class=""AS"">food</span> was awsome.","I cannot imagine better Indian <span class=""AS"">food</span> in all of the city.","The <span class=""AS"">food</span> was average or above including some surprising tasty dishes.","The <span class=""AS"">food</span> is wonderful, tasty and filling, and the service is professional and friendly.","We actually gave 10% tip (which we have never done despite mediocre <span class=""AS"">food</span> and service), because we felt totally ripped off.","not the <span class=""AS"">food</span> ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .","There is also very limited seating and there can be a substantial wait in getting <span class=""AS"">food</span> at peak times.","The <span class=""AS"">food</span> is just OKAY, and it's almost not worth going unless you're getting the pialla, which is the only dish that's really good.","And these are not small, wimpy fast <span class=""AS"">food</span> type burgers - these are real, full sized patties.","My main concern was the sanity of the <span class=""AS"">food</span> that was being sent out to myself and others, but I would be lying","Sauce was watery and the <span class=""AS"">food</span> didn't have much flavor.","The ambience was so fun, and the prices were great, on top of the fact that the <span class=""AS"">food</span> was really tasty.","You can't say its cheap because <span class=""AS"">food</span> is cheaper in Chinatown.","sometimes i get good <span class=""AS"">food</span> and ok service.","Thalia is a beautiful restaurant with beautiful people serving you, but the <span class=""AS"">food</span> doesn't quite match up.","The <span class=""AS"">food</span> was so-so.","Gross <span class=""AS"">food</span> – Wow-"
experiences,experience,,,"great <span class=""AS"">experience</span> overall.","Sushi <span class=""AS"">experience</span> was unbelievable with my fiance.","The whole <span class=""AS"">experience</span> was satisfying.","We ended our great <span class=""AS"">experience</span> by having Gulab Jamun (dessert) recommended by the waiter.","We had a most unpleasant <span class=""AS"">experience</span> at this restaurant.","We ended our great <span class=""AS"">experience</span> by having Gulab Jamun (dessert) recommended by the waiter.","Probably my worst dining <span class=""AS"">experience</span> in new york, and I'm a former waiter","It is obvious that no one in the restaurant has any idea about or <span class=""AS"">experience</span> with Japanese cuisine.","To finish off such a delightful dinner <span class=""AS"">experience</span> you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate.","The entire dining <span class=""AS"">experience</span> was wonderful!","My first <span class=""AS"">experience</span> at Siam Square was very pleasant.","I highly recommend the restaurant based on our <span class=""AS"">experience</span> last night.","You could get a much better dining <span class=""AS"">experience</span> for the same amount of money in a lot of other French Bistros.","Overall a disappointing <span class=""AS"">experience</span> for that price category.","Perhaps the last reviewer (who stated she was treated with attitude) lives in a parallel universe because I have never had anything but a perfect <span class=""AS"">experience</span> at Yasuda.","I'm no food critic, but I'd like to think I have a tiny bit of <span class=""AS"">experience</span> under my belt having lived in NY for the last 11 years.","It can be a very fun <span class=""AS"">experience</span> with a group, and kids (6 and over) would love it.","I went to Ruby Foos for my birthday and enjoyed our <span class=""AS"">experience</span> there.","Really Lovely dining <span class=""AS"">experience</span> in the midst of buzzing midtown area.","AND we missed the show we were supposed to see following our dinner, which would have been acceptable if we got to enjoy the <span class=""AS"">experience</span> of good food and belly dancers!"
deal,,,,"My party had the BBE $29 fixe prix menu, which was such a wonderful <span class=""AS"">deal</span> since it also came with a flight of sake!","overall, a solid restaurant and at less than $40pp (including wine), a solid <span class=""AS"">deal</span> as well.","There was a great <span class=""AS"">deal</span> for 6 Blue Point oysters and a beer or glass of wine for $8!","If I wanted to <span class=""AS"">deal</span> with a crappy scene and annoying customers I'd go out in Manhattan.","The service was great, and they have a whole great <span class=""AS"">deal</span> for birthdays.","so I don't have to <span class=""AS"">deal</span> with crowds or lines.","We took advanatage of the half price sushi <span class=""AS"">deal</span> on saturday so it was well worth it.","We took advanatage of the half price sushi <span class=""AS"">deal</span> on saturday so it was well worth it.","While this can hardly be called a restaurant, it is possibly the best <span class=""AS"">deal</span> in Manhatten: $4 for a plate heaped with rice and 2-3 entrees."
